Date,Platform,Sentiment,Location,Engagements,Media_Type,Influencer_Brand,Post_Type
2024-02-09,X/Twitter,Positive,Medan,10787,Text,@snackattack | ZingPop,Review
2024-02-03,YouTube,Neutral,Medan,19466,Carousel,@drinkculture | ZingPop,Behind the Scenes
2024-02-09,X/Twitter,Positive,Jakarta,10391,Image,@genzfoodie | ZingPop,Promo
2024-02-12,YouTube,Positive,Denpasar,11395,Text,@kulinerhits | ZingPop,Review
2024-02-22,X/Twitter,Positive,Jakarta,3572,Image,@drinkculture | ZingPop,Product Launch
2024-02-25,Instagram,Negative,Yogyakarta,2628,Carousel,@genzfoodie | ZingPop,Product Launch
2024-02-22,TikTok,Neutral,Denpasar,5830,Image,@snackattack | ZingPop,Collab
2024-02-17,TikTok,Positive,Jakarta,12491,Carousel,@snackattack | ZingPop,Promo
2024-02-09,TikTok,Positive,Yogyakarta,11827,Text,@tastebuds.id | ZingPop,Product Launch
2024-03-01,TikTok,Neutral,Surabaya,1212,Image,@genzfoodie | ZingPop,Product Launch
2024-02-04,TikTok,Positive,Yogyakarta,7520,Image,@kulinerhits | ZingPop,Collab
2024-02-29,Instagram,Neutral,Jakarta,15570,Video,@tastebuds.id | ZingPop,Behind the Scenes
2024-02-29,Instagram,Neutral,Jakarta,16600,Video,@genzfoodie | ZingPop,Product Launch
2024-02-26,X/Twitter,Positive,Denpasar,17812,Video,@genzfoodie | ZingPop,Review
2024-02-26,YouTube,Positive,Yogyakarta,9585,Image,@kulinerhits | ZingPop,Promo
2024-02-21,YouTube,Positive,Denpasar,12430,Image,@genzfoodie | ZingPop,Behind the Scenes
2024-02-17,YouTube,Negative,Bandung,659,Text,@tastebuds.id | ZingPop,Review
2024-02-27,TikTok,Positive,Surabaya,3845,Text,@snackattack | ZingPop,Collab
2024-02-26,X/Twitter,Positive,Makassar,7022,Image,@tastebuds.id | ZingPop,Review
2024-02-15,Instagram,Positive,Medan,16621,Image,@tastebuds.id | ZingPop,Promo
2024-02-27,YouTube,Positive,Denpasar,8669,Video,@snackattack | ZingPop,Promo
2024-02-09,TikTok,Positive,Jakarta,17066,Video,@snackattack | ZingPop,Review
2024-03-02,TikTok,Positive,Makassar,14747,Text,@drinkculture | ZingPop,Review
2024-02-19,YouTube,Negative,Denpasar,11417,Text,@tastebuds.id | ZingPop,Promo
2024-02-17,TikTok,Positive,Jakarta,5065,Video,@snackattack | ZingPop,Product Launch
2024-02-20,X/Twitter,Positive,Jakarta,4087,Text,@drinkculture | ZingPop,Collab
2024-02-04,TikTok,Positive,Medan,8423,Text,@snackattack | ZingPop,Product Launch
2024-02-27,X/Twitter,Positive,Surabaya,14990,Carousel,@genzfoodie | ZingPop,Promo
2024-02-28,Instagram,Positive,Bandung,14995,Image,@tastebuds.id | ZingPop,Behind the Scenes
2024-02-22,YouTube,Positive,Jakarta,10927,Image,@drinkculture | ZingPop,Review
2024-02-11,TikTok,Positive,Makassar,15695,Text,@tastebuds.id | ZingPop,Review
2024-02-21,YouTube,Positive,Makassar,3215,Image,@tastebuds.id | ZingPop,Collab
2024-02-13,X/Twitter,Neutral,Medan,16464,Carousel,@snackattack | ZingPop,Behind the Scenes
2024-02-18,X/Twitter,Negative,Bandung,3265,Video,@kulinerhits | ZingPop,Behind the Scenes
2024-02-27,YouTube,Positive,Yogyakarta,4540,Video,@tastebuds.id | ZingPop,Behind the Scenes
2024-02-18,YouTube,Positive,Surabaya,968,Video,@snackattack | ZingPop,Review
2024-02-20,X/Twitter,Negative,Makassar,11447,Carousel,@snackattack | ZingPop,Promo
2024-02-06,Instagram,Positive,Bandung,5346,Text,@genzfoodie | ZingPop,Review
2024-02-18,X/Twitter,Neutral,Yogyakarta,6530,Text,@genzfoodie | ZingPop,Promo
2024-02-14,YouTube,Negative,Denpasar,13869,Video,@genzfoodie | ZingPop,Behind the Scenes
2024-02-13,X/Twitter,Positive,Bandung,9130,Carousel,@tastebuds.id | ZingPop,Behind the Scenes
2024-02-27,Instagram,Neutral,Medan,16970,Image,@genzfoodie | ZingPop,Product Launch
2024-02-02,Instagram,Positive,Jakarta,8425,Image,@tastebuds.id | ZingPop,Review
2024-02-15,TikTok,Neutral,Denpasar,9969,Carousel,@drinkculture | ZingPop,Promo
2024-02-08,YouTube,Positive,Makassar,14662,Image,@snackattack | ZingPop,Promo
2024-03-01,Instagram,Positive,Medan,19172,Text,@drinkculture | ZingPop,Behind the Scenes
2024-02-25,TikTok,Neutral,Surabaya,17301,Carousel,@drinkculture | ZingPop,Product Launch
2024-02-10,TikTok,Positive,Yogyakarta,12402,Text,@kulinerhits | ZingPop,Behind the Scenes
2024-03-01,Instagram,Neutral,Makassar,1331,Video,@genzfoodie | ZingPop,Product Launch
2024-02-19,X/Twitter,Positive,Surabaya,18036,Text,@snackattack | ZingPop,Promo
2024-02-28,X/Twitter,Neutral,Makassar,1652,Video,@snackattack | ZingPop,Collab
2024-02-23,YouTube,Positive,Makassar,15857,Carousel,@drinkculture | ZingPop,Behind the Scenes
2024-02-28,TikTok,Negative,Denpasar,9165,Image,@snackattack | ZingPop,Collab
2024-02-27,TikTok,Neutral,Jakarta,6023,Video,@tastebuds.id | ZingPop,Collab
2024-02-22,Instagram,Positive,Jakarta,14201,Image,@tastebuds.id | ZingPop,Collab
2024-02-02,YouTube,Negative,Bandung,6059,Carousel,@kulinerhits | ZingPop,Behind the Scenes
2024-02-15,Instagram,Positive,Yogyakarta,9402,Carousel,@drinkculture | ZingPop,Collab
2024-03-01,TikTok,Neutral,Jakarta,13708,Video,@tastebuds.id | ZingPop,Product Launch
2024-02-23,Instagram,Neutral,Surabaya,4298,Carousel,@genzfoodie | ZingPop,Collab
2024-02-17,Instagram,Positive,Medan,12781,Text,@kulinerhits | ZingPop,Promo
2024-02-04,X/Twitter,Positive,Medan,17707,Carousel,@drinkculture | ZingPop,Review
2024-02-14,X/Twitter,Neutral,Medan,9480,Text,@tastebuds.id | ZingPop,Product Launch
2024-02-06,Instagram,Positive,Yogyakarta,13000,Image,@kulinerhits | ZingPop,Review
2024-03-01,YouTube,Negative,Bandung,6888,Text,@drinkculture | ZingPop,Behind the Scenes
2024-02-05,X/Twitter,Positive,Jakarta,18974,Image,@snackattack | ZingPop,Behind the Scenes
2024-02-07,Instagram,Positive,Surabaya,13319,Text,@tastebuds.id | ZingPop,Promo
2024-02-13,YouTube,Positive,Yogyakarta,14196,Video,@drinkculture | ZingPop,Review
2024-02-10,TikTok,Positive,Bandung,3312,Carousel,@tastebuds.id | ZingPop,Behind the Scenes
2024-02-18,X/Twitter,Positive,Jakarta,3383,Text,@genzfoodie | ZingPop,Behind the Scenes
2024-02-27,YouTube,Positive,Makassar,12339,Video,@kulinerhits | ZingPop,Promo
2024-02-04,X/Twitter,Positive,Jakarta,10420,Image,@tastebuds.id | ZingPop,Collab
2024-03-01,X/Twitter,Positive,Surabaya,3005,Text,@snackattack | ZingPop,Behind the Scenes
2024-02-07,X/Twitter,Positive,Yogyakarta,16898,Text,@tastebuds.id | ZingPop,Collab
2024-02-11,Instagram,Positive,Yogyakarta,6783,Carousel,@tastebuds.id | ZingPop,Review
2024-02-29,YouTube,Positive,Bandung,13938,Carousel,@kulinerhits | ZingPop,Review
2024-02-26,X/Twitter,Positive,Makassar,14002,Carousel,@kulinerhits | ZingPop,Collab
2024-02-05,X/Twitter,Neutral,Jakarta,9567,Image,@kulinerhits | ZingPop,Collab
2024-02-09,TikTok,Positive,Makassar,19260,Text,@drinkculture | ZingPop,Behind the Scenes
2024-02-20,YouTube,Positive,Jakarta,2281,Video,@drinkculture | ZingPop,Review
2024-02-29,Instagram,Neutral,Yogyakarta,6889,Text,@tastebuds.id | ZingPop,Collab
2024-02-11,TikTok,Positive,Medan,10288,Text,@tastebuds.id | ZingPop,Collab
2024-02-07,TikTok,Positive,Makassar,16176,Image,@genzfoodie | ZingPop,Behind the Scenes
2024-02-27,X/Twitter,Negative,Yogyakarta,8844,Text,@drinkculture | ZingPop,Behind the Scenes
2024-02-23,YouTube,Positive,Bandung,11971,Image,@drinkculture | ZingPop,Product Launch
2024-03-02,X/Twitter,Positive,Makassar,11588,Text,@kulinerhits | ZingPop,Promo
2024-02-25,TikTok,Neutral,Jakarta,12738,Video,@tastebuds.id | ZingPop,Collab
2024-02-19,X/Twitter,Negative,Surabaya,16726,Video,@kulinerhits | ZingPop,Product Launch
2024-02-02,Instagram,Neutral,Medan,18631,Image,@tastebuds.id | ZingPop,Promo
2024-02-02,Instagram,Positive,Surabaya,18651,Carousel,@snackattack | ZingPop,Collab
2024-02-21,TikTok,Neutral,Jakarta,4930,Carousel,@tastebuds.id | ZingPop,Product Launch
2024-02-23,Instagram,Neutral,Medan,10023,Image,@kulinerhits | ZingPop,Promo
2024-02-26,Instagram,Positive,Yogyakarta,16124,Carousel,@tastebuds.id | ZingPop,Review
2024-02-11,X/Twitter,Neutral,Makassar,9738,Carousel,@snackattack | ZingPop,Behind the Scenes
2024-02-16,X/Twitter,Positive,Bandung,17669,Image,@tastebuds.id | ZingPop,Promo
2024-02-25,TikTok,Positive,Bandung,9464,Carousel,@tastebuds.id | ZingPop,Promo
2024-02-20,YouTube,Positive,Jakarta,2386,Text,@tastebuds.id | ZingPop,Product Launch
2024-02-14,Instagram,Positive,Yogyakarta,6977,Video,@snackattack | ZingPop,Product Launch
2024-02-14,Instagram,Neutral,Makassar,15920,Video,@genzfoodie | ZingPop,Review
2024-02-08,YouTube,Neutral,Makassar,17718,Carousel,@snackattack | ZingPop,Behind the Scenes
2024-02-15,TikTok,Positive,Jakarta,9774,Carousel,@drinkculture | ZingPop,Product Launch
2024-02-11,TikTok,Positive,Jakarta,13434,Video,@genzfoodie | ZingPop,Review
2024-02-12,TikTok,Positive,Surabaya,16925,Text,@drinkculture | ZingPop,Product Launch
2024-02-03,YouTube,Positive,Denpasar,15471,Image,@genzfoodie | ZingPop,Product Launch
2024-02-16,X/Twitter,Neutral,Medan,16976,Text,@kulinerhits | ZingPop,Collab
2024-02-23,X/Twitter,Negative,Bandung,6821,Carousel,@kulinerhits | ZingPop,Product Launch
2024-02-21,X/Twitter,Positive,Yogyakarta,7365,Carousel,@tastebuds.id | ZingPop,Collab
2024-02-20,TikTok,Negative,Medan,19971,Carousel,@genzfoodie | ZingPop,Promo
2024-02-22,Instagram,Positive,Jakarta,12695,Video,@genzfoodie | ZingPop,Promo
2024-02-15,X/Twitter,Positive,Yogyakarta,3539,Text,@tastebuds.id | ZingPop,Product Launch
2024-02-18,Instagram,Neutral,Yogyakarta,10537,Text,@drinkculture | ZingPop,Promo
2024-02-16,TikTok,Positive,Surabaya,19989,Carousel,@snackattack | ZingPop,Collab
2024-02-20,TikTok,Negative,Makassar,11212,Video,@tastebuds.id | ZingPop,Collab
2024-02-10,TikTok,Positive,Jakarta,8723,Carousel,@tastebuds.id | ZingPop,Collab
2024-02-13,YouTube,Neutral,Bandung,17675,Text,@drinkculture | ZingPop,Collab
2024-02-29,Instagram,Neutral,Makassar,8266,Carousel,@snackattack | ZingPop,Promo
2024-02-13,YouTube,Positive,Yogyakarta,502,Carousel,@snackattack | ZingPop,Behind the Scenes
2024-02-28,X/Twitter,Positive,Denpasar,4381,Video,@genzfoodie | ZingPop,Collab
2024-03-01,Instagram,Neutral,Jakarta,1145,Text,@drinkculture | ZingPop,Review
2024-02-08,YouTube,Positive,Denpasar,3366,Image,@snackattack | ZingPop,Product Launch
2024-02-24,X/Twitter,Positive,Yogyakarta,12847,Video,@tastebuds.id | ZingPop,Collab
2024-02-24,YouTube,Neutral,Medan,3997,Carousel,@kulinerhits | ZingPop,Product Launch
2024-02-05,X/Twitter,Positive,Jakarta,15838,Image,@drinkculture | ZingPop,Behind the Scenes
2024-03-01,Instagram,Positive,Medan,12757,Carousel,@snackattack | ZingPop,Product Launch
2024-02-15,X/Twitter,Positive,Jakarta,19451,Image,@genzfoodie | ZingPop,Collab
2024-02-17,YouTube,Positive,Medan,17752,Video,@snackattack | ZingPop,Promo
2024-02-25,Instagram,Neutral,Yogyakarta,364,Image,@drinkculture | ZingPop,Promo
2024-02-21,YouTube,Negative,Medan,10203,Carousel,@snackattack | ZingPop,Review
2024-02-16,YouTube,Positive,Jakarta,3484,Image,@drinkculture | ZingPop,Promo
2024-02-15,Instagram,Positive,Yogyakarta,6130,Carousel,@tastebuds.id | ZingPop,Product Launch
2024-02-27,YouTube,Positive,Jakarta,11255,Text,@snackattack | ZingPop,Behind the Scenes
2024-02-07,YouTube,Positive,Surabaya,17091,Image,@tastebuds.id | ZingPop,Promo
2024-03-01,X/Twitter,Positive,Surabaya,9871,Carousel,@snackattack | ZingPop,Product Launch
2024-02-10,TikTok,Neutral,Surabaya,15383,Carousel,@genzfoodie | ZingPop,Collab
2024-02-04,TikTok,Neutral,Denpasar,18654,Video,@kulinerhits | ZingPop,Promo
2024-02-20,X/Twitter,Positive,Denpasar,16804,Video,@tastebuds.id | ZingPop,Promo
2024-02-16,TikTok,Positive,Makassar,18017,Image,@genzfoodie | ZingPop,Promo
2024-02-01,TikTok,Neutral,Medan,12410,Image,@tastebuds.id | ZingPop,Promo
2024-03-02,YouTube,Neutral,Yogyakarta,11234,Image,@tastebuds.id | ZingPop,Product Launch
2024-02-01,X/Twitter,Positive,Yogyakarta,19949,Image,@tastebuds.id | ZingPop,Behind the Scenes
2024-02-13,Instagram,Neutral,Makassar,12596,Carousel,@kulinerhits | ZingPop,Collab
2024-02-18,TikTok,Neutral,Surabaya,12758,Video,@drinkculture | ZingPop,Promo
2024-02-29,TikTok,Positive,Yogyakarta,12623,Image,@genzfoodie | ZingPop,Product Launch
2024-02-10,TikTok,Neutral,Surabaya,16816,Text,@drinkculture | ZingPop,Collab
2024-03-02,Instagram,Positive,Yogyakarta,5078,Video,@genzfoodie | ZingPop,Product Launch
2024-02-02,Instagram,Neutral,Jakarta,1253,Text,@drinkculture | ZingPop,Collab
2024-02-07,Instagram,Positive,Medan,6491,Video,@snackattack | ZingPop,Promo
2024-02-09,X/Twitter,Negative,Jakarta,9105,Video,@genzfoodie | ZingPop,Product Launch
2024-02-16,TikTok,Positive,Denpasar,8567,Video,@drinkculture | ZingPop,Behind the Scenes
2024-02-09,YouTube,Positive,Yogyakarta,2590,Text,@drinkculture | ZingPop,Review
2024-02-02,TikTok,Positive,Surabaya,8942,Image,@tastebuds.id | ZingPop,Review
2024-02-29,YouTube,Positive,Medan,11510,Image,@tastebuds.id | ZingPop,Review
2024-02-06,X/Twitter,Positive,Jakarta,10265,Carousel,@kulinerhits | ZingPop,Review
2024-03-02,Instagram,Positive,Yogyakarta,3884,Video,@drinkculture | ZingPop,Product Launch
2024-03-02,Instagram,Positive,Jakarta,16148,Text,@kulinerhits | ZingPop,Behind the Scenes
2024-02-20,X/Twitter,Positive,Makassar,18472,Carousel,@drinkculture | ZingPop,Collab
2024-02-08,Instagram,Negative,Medan,7010,Image,@snackattack | ZingPop,Behind the Scenes
2024-03-01,X/Twitter,Positive,Denpasar,15250,Carousel,@kulinerhits | ZingPop,Collab
2024-02-03,YouTube,Neutral,Makassar,4375,Video,@tastebuds.id | ZingPop,Promo
2024-02-24,X/Twitter,Positive,Medan,6256,Carousel,@tastebuds.id | ZingPop,Review
2024-02-16,YouTube,Positive,Surabaya,8511,Carousel,@tastebuds.id | ZingPop,Promo
2024-02-24,YouTube,Neutral,Yogyakarta,3035,Text,@kulinerhits | ZingPop,Collab
2024-02-06,TikTok,Positive,Denpasar,6612,Text,@tastebuds.id | ZingPop,Collab
2024-02-09,Instagram,Neutral,Bandung,9903,Carousel,@kulinerhits | ZingPop,Collab
2024-03-02,YouTube,Negative,Denpasar,5059,Image,@snackattack | ZingPop,Collab
2024-02-11,Instagram,Negative,Bandung,17870,Video,@tastebuds.id | ZingPop,Product Launch
2024-02-15,X/Twitter,Positive,Jakarta,2375,Carousel,@kulinerhits | ZingPop,Behind the Scenes
2024-02-04,YouTube,Neutral,Surabaya,4440,Image,@kulinerhits | ZingPop,Product Launch
2024-02-17,TikTok,Neutral,Bandung,17682,Video,@genzfoodie | ZingPop,Product Launch
2024-02-03,Instagram,Neutral,Makassar,8952,Image,@genzfoodie | ZingPop,Behind the Scenes
2024-02-01,Instagram,Neutral,Surabaya,1434,Carousel,@kulinerhits | ZingPop,Behind the Scenes
2024-02-22,YouTube,Negative,Jakarta,19056,Text,@kulinerhits | ZingPop,Promo
2024-02-08,Instagram,Positive,Medan,10099,Image,@drinkculture | ZingPop,Promo
2024-02-16,YouTube,Neutral,Jakarta,15697,Image,@drinkculture | ZingPop,Behind the Scenes
2024-02-04,X/Twitter,Positive,Yogyakarta,6008,Image,@genzfoodie | ZingPop,Review
2024-03-01,TikTok,Positive,Medan,6137,Video,@snackattack | ZingPop,Promo
2024-02-01,TikTok,Positive,Denpasar,10041,Text,@genzfoodie | ZingPop,Collab
2024-02-09,YouTube,Neutral,Denpasar,6997,Image,@drinkculture | ZingPop,Collab
2024-02-29,TikTok,Neutral,Medan,9501,Text,@drinkculture | ZingPop,Collab
2024-02-23,Instagram,Positive,Bandung,5874,Video,@tastebuds.id | ZingPop,Promo
2024-02-11,X/Twitter,Positive,Jakarta,10867,Image,@snackattack | ZingPop,Collab
2024-02-20,X/Twitter,Negative,Makassar,18008,Image,@drinkculture | ZingPop,Review
2024-02-26,X/Twitter,Positive,Makassar,18038,Carousel,@snackattack | ZingPop,Promo
2024-02-05,TikTok,Positive,Medan,7795,Video,@tastebuds.id | ZingPop,Collab
2024-02-26,TikTok,Neutral,Surabaya,10696,Carousel,@kulinerhits | ZingPop,Collab
2024-02-09,Instagram,Positive,Denpasar,3058,Image,@snackattack | ZingPop,Collab
2024-02-22,TikTok,Positive,Yogyakarta,766,Image,@drinkculture | ZingPop,Promo
2024-02-09,YouTube,Positive,Jakarta,6369,Carousel,@snackattack | ZingPop,Review
2024-02-06,X/Twitter,Positive,Jakarta,10235,Carousel,@tastebuds.id | ZingPop,Collab
2024-02-21,X/Twitter,Positive,Bandung,16961,Image,@genzfoodie | ZingPop,Behind the Scenes
2024-02-25,X/Twitter,Positive,Denpasar,15192,Carousel,@drinkculture | ZingPop,Review
2024-02-05,YouTube,Positive,Denpasar,6235,Video,@kulinerhits | ZingPop,Review
2024-02-02,X/Twitter,Positive,Makassar,13615,Carousel,@genzfoodie | ZingPop,Product Launch
2024-02-01,X/Twitter,Neutral,Jakarta,10511,Text,@snackattack | ZingPop,Promo
2024-02-06,Instagram,Positive,Denpasar,6171,Text,@drinkculture | ZingPop,Promo
2024-02-21,YouTube,Positive,Bandung,11404,Carousel,@snackattack | ZingPop,Behind the Scenes
2024-02-16,YouTube,Neutral,Makassar,18029,Image,@genzfoodie | ZingPop,Review
2024-03-01,YouTube,Positive,Surabaya,5485,Carousel,@snackattack | ZingPop,Behind the Scenes
2024-02-10,YouTube,Positive,Bandung,8170,Carousel,@tastebuds.id | ZingPop,Behind the Scenes
2024-02-08,YouTube,Neutral,Yogyakarta,12529,Image,@genzfoodie | ZingPop,Product Launch
2024-02-22,TikTok,Neutral,Jakarta,10157,Image,@tastebuds.id | ZingPop,Review
